uhnPkpJvCk	9094769939	100	100	100	100	100	100	1
YyjOpivPMop	3378465076	100	100	100	100	100	100	1
MJswXCwEEK	7469168202	100	100	100	100	100	100	1
bfnEPhVkHmeqMBhSo	3230994457	100	100	100	100	100	100	1
wNqWjPEVAGtmPBqALSGWO	9804573395	100	100	100	100	100	100	1
YVzMmiwxQY	8546203096	100	100	100	100	100	100	1
tPivIIPblx	3311842593	100	100	100	100	100	100	1
LyyeWLtuBxjMyoDwyEobFiK	9261515725	100	100	100	100	100	100	1
zKPWpjqOgHmioatiVHLZVuQ	0048120589	100	100	100	100	100	100	1
iGPOIKqAF	6617140707	100	100	100	100	100	100	1
OhuriatwxJSRD	8143366824	100	100	100	100	100	100	1
fmByxYJGGmPKeyzoLPwGp	5373737049	100	100	100	100	100	100	1
fXOSSCHdjnCmu	6564291138	100	100	100	100	100	100	1
SVVGcxRk	5886177398	100	100	100	100	100	100	1
jvFvHJNi	4663247555	100	100	100	100	100	100	1
KloZhiSrfaIGqlIHEw	7882940110	100	100	100	100	100	100	1
GiHdxde	1925734970	100	100	100	100	100	100	1
fGPUqGLW	9931815948	100	100	100	100	100	100	1
xIaLYqCcJNNYqCqjtUBOWDfW	2760583300	100	100	100	100	100	100	1
RGWEDxBbS	9370466089	100	100	100	100	100	100	1
oTDCDAjPFT	6627237961	100	100	100	100	100	100	1
RilFnaZdSevMozGEZl	3819495570	100	100	100	100	100	100	1
